Name,Address,Rating,Website,Price,City,State
Wyndham Garden San Diego near SeaWorld,"3737 Sports Arena Blvd, San Diego, CA 92110, USA",3.3,https://www.wyndhamhotels.com/wyndham-garden/san-diego-california/wyndham-garden-san-diego-near-seaworld/overview?CID=LC:46q62bu8edfbx3y:45033&iata=00093796,139,San Diego,CA
Alma San Diego,"1047 Fifth Ave, San Diego, CA 92101, USA",4.2,,110,San Diego,CA
Hilton San Diego/Del Mar,"15575 Jimmy Durante Blvd, Del Mar, CA 92014, USA",4.2,https://www.hilton.com/en/hotels/sandmhf-hilton-san-diego-del-mar/?SEO_id=GMB-AMER-HH-SANDMHF&y_source=1_MTIyMDc5OC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,194,San Diego,CA
California Dreams Hostel - Ocean Beach,"3790 Udall St, San Diego, CA 92107, USA",4.8,http://www.californiadreamshostel.com/,87,San Diego,CA
Manchester Grand Hyatt San Diego,"1 Market Pl, San Diego, CA 92101, USA",4.5,https://www.hyatt.com/grand-hyatt/en-US/sanrs-manchester-grand-hyatt-san-diego?src=corp_lclb_google_seo_sanrs&%3Futm_source=google&utm_medium=organic&utm_campaign=lmr,105,San Diego,CA
Hilton Hawaiian Village Waikiki Beach Resort,"2005 Kālia Rd, Honolulu, HI 96815, USA",4.2,https://www.hilton.com/en/hotels/hnlhvhh-hilton-hawaiian-village-waikiki-beach-resort/?SEO_id=GMB-AMER-HH-HNLHVHH&y_source=1_NzIxNzUzLTcxNS1sb2NhdGlvbi53ZWJzaXRl,121,Honolulu,HI
Royal Grove Waikiki,"151 Uluniu Ave, Honolulu, HI 96815, USA",3.5,https://www.royalgrovewaikiki.com/?utm_source=google&utm_medium=organic&utm_campaign=business-listing,95,Honolulu,HI
Waikiki Malia,"2211 Kūhiō Ave., Honolulu, HI 96815, USA",4,http://www.waikikimalia.com/?utm_source=local-listings&utm_medium=organic&utm_campaign=local-listings,145,Honolulu,HI
Ohia Waikiki Studio Suites,"2280 Kūhiō Ave., Honolulu, HI 96815, USA",3.2,https://www.ohiawaikiki.com/?utm_source=GMB&utm_medium=listing&utm_campaign=GMB,185,Honolulu,HI
OUTRIGGER Waikīkī Paradise Hotel,"150 Kaʻiulani Ave, Honolulu, HI 96815, USA",4,https://www.outrigger.com/hawaii/oahu/ohana-waikiki-east-by-outrigger,158,Honolulu,HI
